id,data_source_id,component_code,group_1_name_ja,group_2_name_ja,group_3_name_ja,unit,category,has_flag,original_sort_order,note,created_at,updated_at
d7c55f21-4537-4118-8aab-ecff40c4665a,f01ff314-5be6-4b68-b0f2-8857d8778339,REFUSE,廃棄率,,,%,廃棄率,f,1,,2025-10-31T07:46:36,2025-10-31T07:46:36
0a2b68fd-31dc-4d1d-88bb-3025131713fd,f01ff314-5be6-4b68-b0f2-8857d8778339,ENERC,エネルギー,,,kJ,エネルギー,f,2,,2025-10-31T07:46:36,2025-10-31T07:46:36
8f49a7e3-b2ee-400b-844f-42046188dcb6,f01ff314-5be6-4b68-b0f2-8857d8778339,ENERC_KCAL,エネルギー,,,kcal,エネルギー,f,3,,2025-10-31T07:46:36,2025-10-31T07:46:36
b40b8fe6-9fa7-4448-bf91-f0f8fca9b626,f01ff314-5be6-4b68-b0f2-8857d8778339,WATER,水分,,,g,水分,f,4,,2025-10-31T07:46:36,2025-10-31T07:46:36
9bae32d8-4d57-4be7-b479-4a5f2147719c,f01ff314-5be6-4b68-b0f2-8857d8778339,PROTCAA,たんぱく質,アミノ酸組成によるたんぱく質,,g,たんぱく質,f,5,,2025-10-31T07:46:36,2025-10-31T07:46:36
d90978e4-8ae9-4ca0-96ff-dc83c4eaf915,f01ff314-5be6-4b68-b0f2-8857d8778339,PROT-,たんぱく質,,,g,たんぱく質,f,6,,2025-10-31T07:46:36,2025-10-31T07:46:36
837a99ea-ec31-49c1-af36-564dd8c21a19,f01ff314-5be6-4b68-b0f2-8857d8778339,FATNLEA,脂質,脂肪酸のトリアシルグリセロール当量,,g,脂質,f,7,,2025-10-31T07:46:36,2025-10-31T07:46:36
bd3dc7e2-b557-4d77-842b-05e0720c6815,f01ff314-5be6-4b68-b0f2-8857d8778339,CHOLE,脂質,コレステロール,,mg,脂質,f,8,,2025-10-31T07:46:36,2025-10-31T07:46:36
6a461a24-cae6-487e-80ac-db60a09a4848,f01ff314-5be6-4b68-b0f2-8857d8778339,FAT-,脂質,,,g,脂質,f,9,,2025-10-31T07:46:36,2025-10-31T07:46:36
c2b62a95-d6a9-434d-83fd-8474ce35f442,f01ff314-5be6-4b68-b0f2-8857d8778339,CHOAVLM,炭水化物,利用可能炭水化物,利用可能炭水化物（単糖当量）,g,炭水化物,t,10,,2025-10-31T07:46:36,2025-10-31T07:46:36
b80d9e4c-9a9a-47d4-af17-b15d09d08177,f01ff314-5be6-4b68-b0f2-8857d8778339,CHOAVL,炭水化物,利用可能炭水化物,利用可能炭水化物（質量計）,g,炭水化物,t,11,,2025-10-31T07:46:36,2025-10-31T07:46:36
30246acc-265b-4a7a-ac67-12547f6ba487,f01ff314-5be6-4b68-b0f2-8857d8778339,CHOAVLDF-,炭水化物,利用可能炭水化物,差引き法による利用可能炭水化物,g,炭水化物,t,12,,2025-10-31T07:46:36,2025-10-31T07:46:36
4c57dc9b-8df2-4263-849c-6c4155717432,f01ff314-5be6-4b68-b0f2-8857d8778339,FIB-,炭水化物,食物繊維総量,,g,炭水化物,t,13,,2025-10-31T07:46:36,2025-10-31T07:46:36
a92fde25-3858-4960-9780-ed1144d8c27a,f01ff314-5be6-4b68-b0f2-8857d8778339,POLYL,炭水化物,糖アルコール,,g,炭水化物,f,14,,2025-10-31T07:46:36,2025-10-31T07:46:36
a07503af-ca7a-47a3-bdc1-930a3c45b967,f01ff314-5be6-4b68-b0f2-8857d8778339,CHOCDF-,炭水化物,,,g,炭水化物,f,15,,2025-10-31T07:46:36,2025-10-31T07:46:36
cecac7c6-62a6-4b3d-a37f-e171e235ee6c,f01ff314-5be6-4b68-b0f2-8857d8778339,OA,有機酸,,,g,有機酸,f,16,,2025-10-31T07:46:36,2025-10-31T07:46:36
8f88a567-9280-4094-a510-1a4698129b0c,f01ff314-5be6-4b68-b0f2-8857d8778339,ASH,灰分,,,g,灰分,f,17,,2025-10-31T07:46:36,2025-10-31T07:46:36
ec1d02bb-28d6-4c71-8e94-b5332fe48282,f01ff314-5be6-4b68-b0f2-8857d8778339,NA,無機質,ナトリウム,,mg,無機質,f,18,,2025-10-31T07:46:36,2025-10-31T07:46:36
